"tags","year_appeared","total_count"
"cross-domain","2008",2422
"cross-platform","2008",2488
"cross-validation","2012",345
"crossfilter","2012",369
"crosstab","2009",391
"crosswalk","2015",150
"crtp","2008",205
"crud","2008",1194
"cruisecontrol.net","2008",803
"crypt","2008",189
"crypto++","2009",186
"cryptoapi","2008",191
"cryptography","2008",4276
"cryptojs","2012",262
"crystal-lang","2012",180
"crystal-reports","2008",4412
"crystal-reports-2008","2009",371
"crystal-reports-2010","2010",235
"crystal-reports-xi","2009",219
"cs50","2009",221
"csh","2008",326
"csom","2010",269
"csproj","2008",404
"csr","2008",142
"csrf","2008",1488
"csrf-protection","2010",352
"css","2008",212798
"css-animations","2010",1708
"css-float","2008",2282
"css-grid","2015",486
"css-position","2008",1883
"css-selectors","2008",4381
"css-shapes","2010",696
"css-sprites","2008",394
"css-tables","2008",663
"css-transforms","2010",773
"css-transitions","2010",2107
"css3","2008",31871
"cstring","2008",211
"csv","2008",18679
"ctags","2008",316
"ctypes","2008",950
"cube","2008",378
"cucumber","2008",3182
"cucumber-java","2015",145
"cucumber-junit","2012",93
"cucumber-jvm","2011",351
"cucumberjs","2014",189
"cuda","2008",3802
"cudnn","2015",109
"culture","2008",390
"cultureinfo","2008",515
"cumsum","2012",91
"cumulative-sum","2010",101
"curl","2008",12784
"curly-braces","2008",183
"currency","2008",1008
"currying","2008",317
"curses","2008",284
"cursor","2008",2889
"cursor-position","2008",145
"curve","2008",269
"curve-fitting","2009",524
"custom-action","2008",440
"custom-adapter","2011",358
"custom-attributes","2008",577
"custom-cell","2009",267
"custom-component","2008",494
"custom-controls","2008",1981
"custom-data-attribute","2009",381
"custom-element","2014",201
"custom-error-pages","2008",210
"custom-fields","2010",455
"custom-font","2010",194
"custom-keyboard","2014",281
"custom-lists","2009",127
"custom-post-type","2010",1016
"custom-taxonomy","2011",259
"custom-view","2009",274
"custom-wordpress-pages","2010",262
"customization","2008",1593
"customvalidator","2009",199
"cut","2008",334
"cv2","2016",123
"cvs","2008",788
"cx-freeze","2010",466
"cx-oracle","2008",293
"cxf","2008",2173
"cycle","2008",453
"cygwin","2008",2575
"cypher","2011",2682
"cypress","2016",86
"cyrillic","2010",145
"cython","2009",1213
"cytoscape.js","2012",238
"d","2008",1241
"d3.js","2011",11549
"daemon","2008",994
"dagger","2012",366
"dagger-2","2014",877
"dalvik","2008",447
"dao","2008",817
"dapper","2011",1066
"dart","2011",4358
"dart-html","2012",157
"dart-polymer","2013",454
"dart-pub","2012",180
"dashboard","2008",630
"dask","2015",384
"dask-distributed","2017",60
"data-access-layer","2008",703
"data-analysis","2008",555
"data-annotations","2008",1456
"data-binding","2008",9861
"data-cleaning","2011",235
"data-conversion","2008",383
"data-extraction","2010",149
"data-fitting","2010",115
"data-manipulation","2008",467
"data-migration","2008",476
"data-mining","2008",888
"data-modeling","2008",1010
"data-processing","2008",161
"data-science","2015",669
"data-storage","2008",189
"data-structures","2008",8840
"data-synchronization","2008",192
"data-transfer","2008",270
"data-uri","2009",217
"data-visualization","2008",1380
"data-warehouse","2008",798
"data.table","2010",2685
"dataadapter","2008",178
"database","2008",56751
"database-administration","2008",555
"database-backups","2009",532
"database-connection","2008",2387
"database-deadlocks","2009",215
"database-design","2008",9419
"database-indexes","2008",176
"database-migration","2008",1326
"database-normalization","2009",350
"database-partitioning","2008",287
"database-performance","2008",861
"database-project","2008",373
"database-replication","2009",627
"database-restore","2008",258
"database-schema","2008",1166
"database-trigger","2009",218
"databricks","2016",99
"datacontext","2008",704
"datacontract","2008",371
"datacontractserializer","2008",492
"dataflow","2008",154
"dataframe","2009",11845
"datagram","2008",211
"datagrid","2008",5801
"datagridview","2008",6711
"datagridviewcolumn","2009",167
"dataimporthandler","2009",135
"datalist","2008",347
"datamapper","2008",536
"datamodel","2008",161
"datanucleus","2009",391
"dataprovider","2009",184
"datareader","2008",270
"datarow","2008",278
"dataset","2008",2951
"datasnap","2008",219
"datasource","2008",1689
"datastage","2009",79
"datastax","2013",811
"datastax-enterprise","2012",531
"datastax-java-driver","2013",276
"datastore","2009",267
"datatable","2008",6524
"datatables","2009",5404
"datatables-1.10","2014",247
"datatemplate","2008",1133
"datatrigger","2008",366
"dataview","2008",276
"dataweave","2015",132
"date","2008",19878
"date-arithmetic","2008",239
"date-conversion","2008",174
"date-format","2008",838
"date-formatting","2008",428
"date-parsing","2009",138
"date-range","2008",390
"dateadd","2009",89
"datediff","2008",402
"datepicker","2008",5460
"daterangepicker","2010",151
"datetime","2008",19222
"datetime-format","2009",744
"datetimeoffset","2008",176
"datetimepicker","2008",1039
"datomic","2012",186
"dax","2012",521
"dayofweek","2008",222
"days","2009",106
"db2","2008",3286
"db2-400","2008",219
"db2-luw","2008",186
"db4o","2008",221
"dbcontext","2010",831
"dbf","2008",258
"dbi","2008",437
"dbix-class","2008",184
"dblink","2008",115
"dbpedia","2009",369
"dbunit","2008",249
"dbus","2008",389
"dc.js","2013",501
"dcg","2008",127
"dcom","2008",157
"dcos","2015",134
"ddd-repositories","2008",202
"ddl","2008",631
"ddms","2009",279
"ddos","2008",136
"deadlock","2008",1114
"dealloc","2009",240
"deb","2009",210
"debian","2008",3073
"debug-symbols","2008",321
"debugging","2008",18633
"decimal","2008",2044
"decimalformat","2009",163
"decision-tree","2009",479
"declaration","2008",920
"declare","2008",173
"decltype","2008",259
"decodable","2017",79
"decode","2008",1035
"decoder","2008",119
"decoding","2008",456
"decompiler","2008",198
"decompiling","2008",399
"decorator","2008",1560
"deep-copy","2008",362
"deep-learning","2010",3158
"deep-linking","2009",804
"default","2008",1081
"default-constructor","2008",261
"default-value","2008",754
"defaultdict","2011",124
"defaulttablemodel","2011",131
"deferred","2010",427
"definition","2008",458
"deflate","2008",188
"delaunay","2008",90
"delay","2008",1128
"delayed-job","2009",771
"delegates","2008",4604
"delegation","2008",305
"delete-file","2008",541
"delete-operator","2009",379
"delete-row","2008",449
"delimiter","2008",694
"delphi","2008",19626
"delphi-10-seattle","2015",288
"delphi-10.1-berlin","2016",244
"delphi-10.2-tokyo","2017",158
"delphi-2007","2008",502
"delphi-2009","2008",611
"delphi-2010","2009",760
"delphi-5","2008",173
"delphi-7","2008",1194
"delphi-xe","2009",679
"delphi-xe2","2011",1409
"delphi-xe3","2012",338
"delphi-xe4","2013",200
"delphi-xe5","2013",306
"delphi-xe6","2009",239
"delphi-xe7","2010",387
"delphi-xe8","2015",184
"dendrogram","2009",113
"denormalization","2008",178
"dependencies","2008",3954
"dependency-injection","2008",9349
"dependency-management","2008",1053
"dependency-properties","2008",977
"dependent-type","2010",228
"deployment","2008",8911
"deprecated","2008",828
"depth","2009",155
"depth-buffer","2009",132
"depth-first-search","2008",420
"deque","2008",232
"derby","2008",946
"dereference","2009",303
"derivative","2009",122
"derived","2009",104
"derived-class","2009",358
"des","2008",207
"descriptor","2009",162
"deserialization","2010",2251
"design-patterns","2008",12887
"design-time","2008",226
"designer","2008",538
"desire2learn","2011",141
"desktop","2008",798
"desktop-application","2008",1188
"desktop-bridge","2014",98
"destroy","2009",318
"destructor","2008",1003
"destructuring","2008",231
"detailsview","2008",255
"detect","2008",326
"detection","2008",563
"dev-c++","2009",203
"developer-tools","2008",265
"development-environment","2008",1041
"devexpress","2008",2826
"devextreme","2013",223
"device","2008",1028
"device-driver","2008",431
"device-orientation","2010",180
"device-tree","2009",125
"devise","2010",6572
"devops","2014",745
"devtools","2008",288
"dex","2010",351
"dfa","2009",141
"dgrid","2012",143
"dhcp","2008",221
"dhtml","2008",332
"dhtmlx","2009",221
"diacritics","2008",390
"diagnostics","2008",199
"diagonal","2010",119
"diagram","2008",595
"dialog","2008",4119
"dialogflow","2017",450
"dialogfragment","2012",131
"dice","2009",118
"dicom","2008",442
"dictionary","2008",14543
"dictionary-comprehension","2012",111
"didselectrowatindexpath","2008",218
"diff","2008",1807
"difference","2011",365
"differential-equations","2009",198
"digest","2008",200
"digit","2010",96
"digital-certificate","2008",227
"digital-ocean","2013",813
"digital-signature","2008",962
"digits","2008",193
"dijkstra","2009",373
"dimension","2010",184
"dimensions","2008",334
"dimple.js","2013",135
"dir","2009",144
"direct2d","2009",180
"direct3d","2008",501
"directed-acyclic-graphs","2009",213
"directed-graph","2008",186
"direction","2009",217
"directions","2010",150
"directive","2008",712
"directory","2008",3298
"directory-structure","2008",497
"directoryservices","2008",353
"directshow","2008",782
"directshow.net","2009",207
"directx","2008",1876
"directx-11","2008",509
"directx-9","2010",207
"disabled-input","2010",140
"disassembly","2008",405
"discord","2016",402
"discord.js","2017",161
"discord.py","2017",170
"discrete-mathematics","2008",262
"disk","2008",355
"diskspace","2008",253
"dismiss","2010",212
"dispatch","2009",228
"dispatch-async","2012",169
"dispatcher","2008",524
"display","2011",399
"displaytag","2008",259
"dispose","2008",861
"disqus","2009",322
"distance","2008",921
"distinct","2008",1357
"distinct-values","2009",125
"distributed","2008",790
"distributed-computing","2008",940
"distributed-system","2008",265
"distributed-transactions","2008",225
"distribution","2008",808
"distutils","2008",471
"divide","2009",128
"divide-and-conquer","2010",133
"divide-by-zero","2008",140
"division","2008",539
"django","2008",78865
"django-1.7","2014",223
"django-1.8","2014",174
"django-2.0","2017",117
"django-admin","2008",3510
"django-allauth","2011",393
"django-authentication","2008",547
"django-celery","2011",519
"django-channels","2016",148
"django-class-based-views","2010",445
"django-cms","2009",676
"django-crispy-forms","2012",191
"django-csrf","2010",216
"django-database","2009",171
"django-filter","2009",208
"django-forms","2008",4948
"django-generic-views","2009",170
"django-haystack","2009",645
"django-middleware","2008",153
"django-migrations","2012",398
"django-models","2008",9518
"django-nonrel","2010",177
"django-orm","2008",1043
"django-queryset","2008",1691
"django-registration","2009",262
"django-rest-auth","2014",114
"django-rest-framework","2011",4857
"django-serializer","2012",136
"django-settings","2009",288
"django-signals","2008",249
"django-socialauth","2010",179
"django-south","2009",544
"django-staticfiles","2011",318
"django-tables2","2012",145
"django-templates","2008",4676
"django-testing","2009",382
"django-urls","2008",960
"django-users","2008",217
"django-views","2008",3635
"dji-sdk","2016",67
"dkim","2009",153
"dlib","2015",197
"dll","2008",8704
"dll-injection","2009",104
"dllexport","2009",245
"dllimport","2008",747
"dlopen","2008",191
"dma","2009",164
"dml","2009",142
"dns","2008",5358
"dnx","2014",403
"do-while","2008",517
"doc","2008",314
"dock","2008",180
"docker","2010",19528
"docker-compose","2015",3619
"docker-container","2014",191
"docker-for-windows","2016",116
"docker-image","2013",112
"docker-machine","2014",556
"docker-networking","2013",160
"docker-registry","2013",314
"docker-swarm","2015",668
"docker-volume","2015",194
"dockerfile","2014",2029
"dockerhub","2014",226
"docstring","2008",192
"doctrine","2008",4480
"doctrine-1.2","2009",219
"doctrine-odm","2011",275
"doctype","2008",507
"document","2008",858
"document-ready","2009",300
"document.write","2008",133
"documentation","2008",2154
"documentation-generation","2008",407
"docusignapi","2013",879
"docx","2008",753
"docx4j","2010",262
"dojo","2008",4022
"dojox.grid.datagrid","2010",171
"dokku","2014",164
"dom","2008",13701
"dom-events","2009",288
"dom-manipulation","2009",277
"domain-driven-design","2008",2453
"domain-name","2008",202
"domdocument","2009",1035
"domparser","2009",165
"dompdf","2009",604
"domxpath","2009",141
"dos","2008",865
"dot","2009",346
"dotnet-httpclient","2012",726
"dotnetnuke","2008",1533
"dotnetnuke-module","2008",229
"dotnetopenauth","2008",636
"dotnetzip","2009",171
"double","2008",2362
"double-click","2008",337
"double-quotes","2008",319
"doubly-linked-list","2011",306
"downcast","2011",28
"download","2008",5286
"download-manager","2009",154
"downloading","2008",213
"doxygen","2008",1087
"dozer","2009",228
"dpi","2008",414
"dpkg","2008",158
"dplyr","2012",3520
"dql","2008",636
"draftjs","2016",162
"drag","2009",643
"drag-and-drop","2008",4727
"draggable","2008",1152
"draw","2008",984
"drawable","2009",1153
"drawer","2009",167
"drawerlayout","2013",314
"drawimage","2009",184
"drawing","2008",2168
"drawrect","2009",480
"dreamhost","2008",227
"dreamweaver","2008",756
"drive","2008",221
"driver","2008",1598
"drivers","2008",274
"drm","2008",204
"drools","2008",1194
"drop-down-menu","2008",6788
"dropbox","2008",1323
"dropbox-api","2011",938
"dropdown","2015",823
"dropdownbox","2008",179
"droppable","2009",215
"dropwizard","2012",680
"dropzone.js","2013",794
"drupal","2008",8374
"drupal-6","2008",1747
"drupal-7","2009",4306
"drupal-8","2011",725
"drupal-modules","2008",939
"drupal-theming","2008",356
"drupal-views","2008",824
"dry","2008",958
"dsc","2014",168
"dsl","2008",876
"dspace","2010",161
"dst","2008",453
"dt","2012",203
"dtd","2008",528
"dto","2008",576
"dummy-variable","2010",85
"dump","2008",484
"duplicate-data","2008",152
"duplicate-removal","2008",339
"duplicates","2008",2814
"durandal","2012",645
"duration","2008",351
"dust.js","2012",201
"dvcs","2008",556
"dygraphs","2011",289
"dyld","2009",129
"dylib","2008",258
"dynamic","2008",8336
"dynamic-allocation","2009",181
"dynamic-arrays","2009",414
"dynamic-cast","2008",215
"dynamic-data","2008",479
"dynamic-library","2010",137
"dynamic-linking","2008",507
"dynamic-linq","2008",251
"dynamic-memory-allocation","2009",590
"dynamic-programming","2008",1100
"dynamic-sql","2008",722
"dynamically-generated","2009",352
"dynamics-365","2017",91
"dynamics-ax-2009","2008",246
"dynamics-ax-2012","2011",402
"dynamics-crm","2008",2383
"dynamics-crm-2011","2009",1990
"dynamics-crm-2013","2012",551
"dynamics-crm-2015","2014",219
"dynamics-crm-2016","2016",198
"dynamics-crm-4","2008",330
"dynamics-crm-online","2009",432
"e-commerce","2008",1853
"e2e-testing","2013",333
"e4","2012",311
"each","2008",1285
"eager-loading","2009",593
"ear","2008",491
"easeljs","2011",361
"easing","2011",159
"easy-install","2009",321
"easymock","2008",356
"easyphp","2008",136
"ebay","2009",410
"ebay-api","2011",235
"ebean","2012",516
"ecdsa","2012",104
"echo","2008",1402
"eclipse","2008",46017
"eclipse-adt","2010",263
"eclipse-cdt","2008",1263
"eclipse-emf","2009",189
"eclipse-indigo","2010",204
"eclipse-jdt","2008",415
"eclipse-juno","2011",342
"eclipse-kepler","2013",222
"eclipse-luna","2013",228
"eclipse-pde","2008",235
"eclipse-pdt","2008",307
"eclipse-plugin","2008",5010
"eclipse-rcp","2008",2434
"eclipse-wtp","2008",182
"eclipselink","2009",2026
"ecmascript-5","2009",593
"ecmascript-6","2009",8324
"ecto","2014",644
"edge","2009",163
"edge-detection","2009",238
"edges","2009",112
"edi","2008",197
"edit","2008",822
"editing","2008",308
"editor","2008",2343
"edmx","2009",362
"ef-code-first","2009",4158
"ef-core-2.0","2017",213
"ef-database-first","2011",290
"ef-fluent-api","2011",290
"ef-migrations","2011",710
"effect","2008",277
"effects","2008",423
"egit","2010",591
"ehcache","2008",971
"eigen","2010",649
"eigen3","2013",163
"eigenvalue","2010",127
"eigenvector","2009",117
"ejabberd","2009",873
"ejb","2008",2572
"ejb-3.0","2008",1088
"ejb-3.1","2010",510
"ejs","2010",1044
"el","2008",1090
"elastic-beanstalk","2011",2134
"elastic-load-balancer","2016",173
"elastic-map-reduce","2010",213
"elasticsearch","2010",14826
"elasticsearch-2.0","2015",161
"elasticsearch-5","2016",428
"elasticsearch-aggregation","2014",102
"elasticsearch-plugin","2013",411
"electron","2014",2515
"electron-builder","2015",143
"electronics","2008",168
"element","2008",985
"elements","2008",376
"elementtree","2008",623
"elf","2008",565
"elisp","2008",1645
"elixir","2012",3239
"ellipse","2008",201
"ellipsis","2008",240
"elliptic-curve","2009",186
"elm","2012",732
"elmah","2008",544
"eloquent","2012",5940
"emacs","2008",6983
"emacs24","2011",244
"email","2008",19519
"email-attachments","2009",763
"email-client","2008",255
"email-headers","2009",143
"email-integration","2008",444
"email-notifications","2011",93
"email-validation","2008",410
"embed","2008",1424
"embedded","2008",2970
"embedded-database","2008",212
"embedded-jetty","2009",501
"embedded-linux","2009",1113
"embedded-resource","2008",735
"embedding","2008",326
"ember-cli","2013",1539
"ember-data","2011",2855
"ember-router","2012",203
"ember-simple-auth","2014",196
"ember.js","2011",11946
"emf","2012",183
"emgucv","2009",669
"emmet","2009",264
"emoji","2009",685
"emr","2011",533
"emscripten","2012",260
"emu8086","2015",91
"emulation","2008",1410
"enable-if","2010",143
"encapsulation","2008",734
"encode","2008",831
"encoder","2008",134
"encoding","2008",8415
"encryption","2008",10896
"encryption-asymmetric","2008",161
"encryption-symmetric","2008",231
"end-to-end","2008",179
"endianness","2008",647
"endpoint","2008",394
"enter","2008",213
"enterprise","2008",423
"enterprise-architect","2008",361
"enterprise-library","2008",806
"enthought","2009",292
"entities","2008",314
"entity","2008",2129
"entity-attribute-value","2008",344
"entity-framework","2008",37377
"entity-framework-4","2009",4216
"entity-framework-4.1","2010",1664
"entity-framework-4.3","2012",239
"entity-framework-5","2010",2247
"entity-framework-6","2010",4144
"entity-framework-core","2013",2201
"entity-relationship","2008",1088
"entitymanager","2008",584
"entropy","2008",154
"enumerable","2008",237
"enumerate","2009",167
"enumeration","2008",746
"enums","2008",7513
"envdte","2009",300
"environment","2008",711
"environment-variables","2008",3152
"enzyme","2016",724
"eof","2009",458
"episerver","2008",319
"epoch","2008",370
"epoll","2008",204
"epplus","2011",604
"eps","2009",151
"epub","2009",355
"equality","2008",791
"equals","2008",1047
"equation","2008",324
"equation-solving","2010",128
"equinox","2009",274
"erase","2008",186
"erb","2008",1088
"erd","2008",274
"erlang","2008",3899
"erp","2008",280
"errno","2008",153
"error-code","2008",183
"error-handling","2008",7340
"error-log","2008",156
"error-logging","2008",315
"error-reporting","2008",219
"es6-class","2015",300
"es6-modules","2014",322
"es6-promise","2014",1054
"esb","2008",778
"escaping","2008",3170
"eslint","2014",885
"esp8266","2015",468
"esper","2008",158
"esri","2008",317
"estimation","2008",180
"esxi","2008",132
"etag","2008",223
"ethereum","2015",598
"ethernet","2008",429
"etl","2008",1223
"etw","2008",154
"euclidean-distance","2009",168
"eval","2008",1620
"evaluation","2008",360
"eve","2013",149
"event-bubbling","2008",218
"event-bus","2010",151
"event-dispatch-thread","2009",255
"event-handling","2008",4461
"event-listener","2008",574
"event-log","2008",497
"event-loop","2008",218
"event-sourcing","2010",340
"event-tracking","2011",123
"eventemitter","2011",258
"eventhandler","2010",188
"eventkit","2010",228
"eventmachine","2009",348
"events","2008",14169
"eventtrigger","2008",260
"evernote","2009",244
"ews-managed-api","2009",189
"exc-bad-access","2008",911
"excel","2008",44477
"excel-2003","2008",264
"excel-2007","2008",1318
"excel-2010","2009",1729
"excel-2013","2012",473
"excel-2016","2015",271
"excel-addins","2008",279
"excel-formula","2008",4153
"excel-interop","2009",589
"excel-vba","2008",22682
"excel-vba-mac","2011",106
"except","2009",108
"exception","2008",13956
"exception-handling","2008",6878
"exchange-server","2008",1572
"exchange-server-2010","2009",235
"exchangewebservices","2008",1397
"exe","2008",1208
"exec","2008",1779
"executable","2008",1003
"executable-jar","2008",740
"execute","2009",364
"execution","2008",474
"execution-time","2009",233
"executor","2009",125
"executorservice","2008",623
"exif","2008",559
"exist-db","2010",155
"exists","2008",475
"exit","2008",699
"exit-code","2008",333
"exoplayer","2014",302
"expand","2009",326
"expandablelistadapter","2009",249
"expandablelistview","2009",1235
"expander","2008",204
"expect","2008",739
"explain","2009",157
"explode","2008",561
"exploit","2008",181
"explorer","2008",355
"expo","2017",471
"exponent","2009",139
"exponential","2010",157
"export","2008",2532
"export-to-csv","2010",909
"export-to-excel","2008",1125
"export-to-pdf","2009",175
"express","2010",19952
"express-checkout","2011",194
"express-session","2015",194
"expression","2008",2163
"expression-blend","2008",698
"expression-trees","2008",995
"expressionengine","2008",633
"ext.net","2010",293
"extbase","2011",494
"extend","2008",539
"extends","2008",503
"extendscript","2008",266
"extension-methods","2008",1753
"extern","2009",451
"external","2008",953
"extjs","2008",10652
"extjs-mvc","2011",283
"extjs3","2008",446
"extjs4","2009",2670
"extjs4.1","2012",801
"extjs4.2","2012",694
"extjs5","2013",484
"extjs6","2015",425
"extjs6-classic","2015",169
"extract","2008",989
"extraction","2009",251
"f#","2008",6314
"f#-interactive","2009",173
"f2py","2009",104
"fabric","2009",620
"fabricjs","2010",1378
"face-detection","2009",457
"face-recognition","2008",357
"facebook","2008",33276
"facebook-access-token","2010",332
"facebook-ads-api","2011",250
"facebook-android-sdk","2010",875
"facebook-apps","2010",547
"facebook-authentication","2010",296
"facebook-c#-sdk","2009",827
"facebook-canvas","2011",147
"facebook-comments","2011",282
"facebook-fql","2009",1240
"facebook-graph-api","2009",13445
"facebook-iframe","2009",168
"facebook-insights","2011",148
"facebook-ios-sdk","2010",865
"facebook-javascript-sdk","2010",2001
"facebook-like","2010",1422
"facebook-likebox","2010",100
"facebook-login","2009",1147
"facebook-marketing-api","2015",154
"facebook-messenger","2013",428
"facebook-messenger-bot","2016",256
"facebook-oauth","2011",369
"facebook-opengraph","2011",897
"facebook-page","2009",430
"facebook-php-sdk","2009",1465
"facebook-sdk-3.0","2012",152
"facebook-sdk-4.0","2014",473
"facebook-sharer","2009",241
"facebook-social-plugins","2010",267
"facebook-unity-sdk","2013",166
"facebook-wall","2008",175
"facelets","2008",868
"facet","2009",380
"facet-wrap","2009",110
"faceted-search","2008",261
"factorial","2008",269
"factors","2009",98
"factory","2008",1091
"factory-bot","2009",1276
"factory-pattern","2009",542
"fade","2008",522
"fadein","2009",636
"fadeout","2009",462
"failed-installation","2009",218
"failover","2008",291
"faker","2011",159
"fallback","2008",178
"famo.us","2014",235
"fancybox","2009",1887
"fancybox-2","2012",444
"fasta","2009",107
"fastcgi","2008",844
"fasterxml","2013",135
"fastlane","2015",299
"fastreport","2008",164
"fat-free-framework","2011",148
"fatal-error","2008",694
"fault","2009",128
"favicon","2008",566
"faye","2011",179
"fbconnect","2009",203
"fbml","2009",278
"fbo","2008",123
"fbsdk","2015",156
"fckeditor","2008",276
"feathersjs","2015",217
"feature-detection","2009",298
"feature-extraction","2009",337
"feature-selection","2010",207
"federated-identity","2008",211
"fedex","2008",178
"fedora","2008",927
"feed","2008",640
"feeds","2008",229
"fetch","2008",1563
"fetch-api","2015",451
"ffi","2008",477
"ffmpeg","2008",5949
"fft","2008",1175
"fftw","2009",203
"fgetcsv","2010",174
"fgets","2008",424
"fibonacci","2008",500
"fiddler","2008",880
"field","2008",1644
"fieldset","2008",193
"fifo","2008",279
"figure","2009",282
"file","2008",20497
"file-access","2008",181
"file-association","2008",173
"file-conversion","2008",209
"file-copying","2008",156
"file-descriptor","2008",390
"file-exists","2008",189
"file-extension","2008",414
"file-format","2008",402
"file-get-contents","2009",783
"file-handling","2009",637
"file-io","2008",7249
"file-management","2008",167
"file-not-found","2008",134
"file-permissions","2008",1138
"file-read","2009",138
"file-rename","2008",337
"file-sharing","2008",214
"file-transfer","2008",618
"file-type","2008",310
"file-upload","2008",10127
"file-writing","2009",145
"fileapi","2010",221
"filebeat","2016",212
"filechooser","2008",135
"filehandle","2008",138
"filehelpers","2008",156
"fileinputstream","2009",328
"filemaker","2008",409
"filenames","2008",1042
"filenotfoundexception","2009",511
"fileoutputstream","2009",339
"filepath","2008",831
"filepicker.io","2012",182
"filereader","2008",669
"filesize","2008",478
"filestream","2008",930
"filesystems","2008",3347
"filesystemwatcher","2008",408
"filewriter","2008",282
"filezilla","2008",220
"fill","2009",395
"filter","2008",6707
"filtering","2008",1880
"final","2008",623
"finalizer","2008",204
"finance","2008",361
"financial","2008",134
"find","2008",2744
"findall","2008",132
"findbugs","2008",485
"findcontrol","2008",170
"finder","2008",248
"findstr","2009",130
"findviewbyid","2011",159
"fine-uploader","2012",392
"fingerprint","2008",415
"finite-automata","2008",159
"firebase","2010",22860
"firebase-admin","2016",261
"firebase-analytics","2014",457
"firebase-authentication","2013",3410
"firebase-cloud-messaging","2016",2400
"firebase-console","2016",137
"firebase-dynamic-links","2016",153
"firebase-hosting","2014",384
"firebase-notifications","2016",268
"firebase-security","2013",785
"firebase-security-rules","2018",82
"firebase-storage","2016",1076
"firebaseui","2015",501
"firebird","2008",1239
"firebird2.5","2009",222
"firebreath","2010",168
"firebug","2008",1355
"firedac","2013",189
"firefox","2008",14734
"firefox-addon","2008",2915
"firefox-addon-sdk","2009",867
"firefox-developer-tools","2012",193
"firefox-os","2012",281
"firefox-webextensions","2015",365
"firemonkey","2011",1082
"firewall","2008",846
"firmware","2008",167
"first-responder","2009",174
"fish","2009",297
"fitnesse","2008",345
"fiware","2014",396
"fiware-orion","2014",231
"fixed","2009",485
"fixed-point","2008",159
"fixed-width","2008",141
"fixtures","2008",493
"flags","2008",464
"flash","2008",14763
"flash-builder","2009",1456
"flash-cs4","2009",328
"flash-cs5","2010",728
"flash-cs6","2012",240
"flash-media-server","2008",194
"flashdevelop","2008",287
"flask","2010",9154
"flask-admin","2013",187
"flask-login","2012",221
"flask-restful","2013",285
"flask-socketio","2014",91
"flask-sqlalchemy","2011",1405
"flask-wtforms","2013",382
"flat-file","2008",265
"flatten","2008",244
"flex","2008",11693
"flex-lexer","2008",560
"flex-spark","2009",277
"flex3","2008",1411
"flex4","2009",2027
"flex4.5","2010",738
"flex4.6","2010",184
"flexbox","2010",4508
"flexbuilder","2008",396
"flexslider","2012",408
"flicker","2008",267
"flickr","2008",495
"flink-streaming","2015",304
"flip","2009",228
"floating","2009",198
"floating-accuracy","2008",421
"floating-action-button","2014",408
"floating-point","2008",4414
"floating-point-precision","2008",238
"flood-fill","2009",126
"flot","2008",927
"flow","2010",217
"flowchart","2008",168
"flowdocument","2008",266
"flowplayer","2009",259
"flowtype","2014",821
"fltk","2009",90
"fluent","2008",378
"fluent-interface","2008",252
"fluent-nhibernate","2008",3332
"fluent-nhibernate-mapping","2009",360
"fluentd","2013",180
"fluentvalidation","2010",443
"fluid","2009",454
"fluid-layout","2010",360
"flume","2010",421
"flume-ng","2014",132
"flurry","2010",290
"flush","2008",396
"flutter","2015",1514
"flutter-dependencies","2018",22
"flutter-layout","2017",44
"flux","2013",563
"flv","2008",357
"flyway","2011",473
"fmdb","2009",347
"focus","2008",2644
"fog","2011",247
"fold","2008",341
"folding","2008",189
"folium","2014",77
"font-awesome","2012",1500
"font-face","2008",1351
"font-size","2008",890
"fonts","2008",7140
"footer","2008",904
"fopen","2008",814
"for-in-loop","2009",181
"for-loop","2008",11730
"force-layout","2011",332
"forceclose","2011",135
"foreach","2008",6835
"forecasting","2009",357
"foreground","2008",188
"foreign-key-relationship","2008",831
"foreign-keys","2008",3330
"foreman","2011",244
"forever","2011",266
"fork","2008",1828
"form-data","2008",355
"form-for","2008",364
"form-submit","2008",966
"format","2008",3005
"format-specifiers","2008",165
"formatter","2008",241
"formatting","2008",4032
"formbuilder","2008",289
"forms","2008",34118
"forms-authentication","2008",1693
"formset","2009",145
"formtastic","2009",364
"formula","2008",1027
"formulas","2009",218
"formview","2008",233
"fortify","2009",194
"fortran","2008",2795
"fortran77","2009",165
"fortran90","2009",401
"forum","2008",333
"forward","2008",236
"forward-declaration","2008",348
"forwarding","2008",197
"fosrestbundle","2012",417
"fosuserbundle","2011",1225
"foundation","2009",372
"foursquare","2010",604
"foxpro","2008",365
"fpdf","2008",721
"fpga","2008",597
"fractals","2008",140
"fractions","2009",196
"fragment","2009",2409
"fragment-shader","2009",405
"fragmentmanager","2012",131
"fragmentpageradapter","2012",251
"fragmentstatepageradapter","2013",164
"fragmenttransaction","2011",160
"frame","2008",1086
"frame-rate","2008",460
"framebuffer","2008",320
"frames","2008",309
"frameset","2008",165
"frameworks","2008",4710
"fread","2009",350
"free","2008",615
"free-jqgrid","2015",224
"freebase","2008",255
"freebsd","2008",671
"freeglut","2009",165
"freemarker","2008",969
"freepascal","2008",454
"freeradius","2011",118
"freertos","2010",170
"freeswitch","2010",223
"freetds","2009",286
"freetype","2009",137
"freeze","2008",519
"frequency","2008",488
"friend","2008",436
